UP.DAT          2.1             Hour Start and End Times with Seconds                           
   3
Produced by UAMAKE Version: 1.53  Level: 090411                                 
Last M3D File Processed: 201601.m3d
Extraction Cell:   41,  28
NONE    
UTC+0000
  2015  365   23    0 2016    4   23    0 300.    2    2
     F    F    F    F
   9999  12345       2015  12 31 24    0    2015  12 31 24    0   34      22                                                    
    543.0,5221.,272.5,244,  4.8,    531.0,5401.,271.1,239,  4.0,    519.0,5590.,269.6,251,  2.9,    506.0,5787.,268.4,265,  3.8,
    493.0,5993.,267.7,268,  4.1,    479.0,6209.,266.4,268,  3.1,    465.0,6444.,264.1,269,  2.8,    450.0,6707.,262.1,282,  4.7,
    432.0,7012.,260.2,288,  6.9,    412.0,7375.,257.9,294,  6.3,    389.0,7812.,255.0,297,  9.7,    362.0,8341.,251.2,287, 11.4,
    332.0,8980.,246.3,285,  8.4,    298.0,9750.,240.6,274, 11.6                                                                 
   9999  12345       2016   1  1 11    0    2016   1  1 11    0   34      22                                                    
    604.0,4367.,275.7, 50,  1.9,    600.0,4419.,276.5,  3,  2.6,    595.0,4484.,276.7,338,  2.7,    589.0,4563.,276.2,319,  2.6,
    582.0,4658.,275.8,305,  2.9,    574.0,4772.,275.5,295,  3.4,    565.0,4905.,274.9,285,  3.6,    555.0,5055.,273.8,271,  3.9,
    543.0,5222.,272.6,256,  4.1,    531.0,5401.,271.2,247,  3.8,    519.0,5590.,269.9,261,  3.4,    506.0,5788.,268.9,269,  3.9,
    493.0,5993.,267.9,273,  3.5,    479.0,6210.,265.9,268,  3.1,    465.0,6444.,263.7,267,  3.6,    449.0,6707.,261.9,281,  5.4,
    432.0,7012.,260.2,310,  3.5,    412.0,7375.,257.9,332,  4.8,    389.0,7812.,254.7,318,  7.2,    362.0,8340.,250.6,294, 11.8,
    332.0,8977.,245.8,285, 10.2,    298.0,9746.,240.3,274, 12.2                                                                 
   9999  12345       2016   1  1 12    0    2016   1  1 12    0   34      22                                                    
    604.0,4367.,275.9, 33,  2.2,    600.0,4419.,276.3,360,  2.6,    595.0,4483.,276.4,333,  2.6,    589.0,4563.,276.1,316,  2.8,
    582.0,4658.,275.9,307,  3.3,    574.0,4772.,275.6,306,  3.4,    565.0,4905.,275.0,309,  2.9,    554.0,5055.,274.0,301,  2.8,
    543.0,5222.,272.8,287,  3.3,    531.0,5401.,271.6,277,  3.6,    519.0,5591.,270.3,278,  3.5,    506.0,5788.,268.9,281,  3.4,
    493.0,5993.,267.0,268,  3.6,    479.0,6209.,265.1,266,  4.4,    465.0,6443.,263.5,278,  4.7,    449.0,6705.,262.1,303,  1.9,
    432.0,7011.,260.3,334,  2.7,    412.0,7374.,257.8,344,  4.0,    389.0,7810.,254.8,320,  6.9,    362.0,8338.,250.7,299, 11.0,
    332.0,8975.,245.8,287, 11.3,    298.0,9744.,240.4,275, 12.5                                                                 
   9999  12345       2016   1  1 13    0    2016   1  1 13    0   34      22                                                    
    604.0,4368.,277.9,354,  3.1,    600.0,4420.,277.2,352,  3.3,    595.0,4484.,276.6,348,  3.3,    589.0,4563.,275.8,329,  3.3,
    582.0,4659.,275.4,304,  3.6,    574.0,4773.,275.1,299,  3.8,    565.0,4905.,274.8,304,  4.2,    554.0,5056.,274.3,309,  4.3,
    543.0,5222.,273.3,306,  4.1,    531.0,5402.,272.0,286,  3.9,    518.0,5591.,270.3,269,  4.1,    506.0,5789.,268.4,269,  4.8,
    493.0,5994.,266.6,277,  6.3,    479.0,6209.,265.1,286,  6.6,    465.0,6443.,263.8,296,  3.5,    449.0,6706.,262.3,344,  1.0,
    432.0,7011.,260.4, 12,  2.3,    412.0,7374.,258.2, 23,  3.0,    389.0,7811.,255.1, 21,  4.5,    362.0,8339.,250.6,305,  7.2,
    332.0,8976.,245.7,286, 11.4,    298.0,9744.,240.3,277, 12.7                                                                 
   9999  12345       2016   1  1 14    0    2016   1  1 14    0   34      22                                                    
    604.0,4368.,279.3,  7,  2.8,    600.0,4420.,278.5,  8,  3.0,    595.0,4485.,277.8,  8,  3.1,    589.0,4564.,277.0,  6,  3.1,
    582.0,4660.,276.0,  3,  3.1,    574.0,4774.,274.9,349,  3.2,    565.0,4906.,273.9,318,  4.3,    554.0,5057.,273.2,298,  5.9,
    543.0,5223.,273.0,297,  4.7,    531.0,5402.,271.8,291,  3.8,    518.0,5592.,270.2,277,  5.4,    506.0,5789.,268.4,278,  7.4,
    493.0,5994.,266.7,286,  9.1,    479.0,6209.,265.1,298,  6.8,    465.0,6443.,264.2,322,  3.6,    449.0,6706.,262.9,  5,  2.2,
    432.0,7012.,260.9, 30,  3.6,    412.0,7376.,258.6, 38,  4.9,    389.0,7813.,255.3, 11,  3.7,    362.0,8340.,250.3,317,  4.0,
    332.0,8977.,245.7,284, 10.6,    298.0,9745.,240.3,274, 13.0                                                                 
   9999  12345       2016   1  1 15    0    2016   1  1 15    0   34      22                                                    
    603.0,4368.,281.0,  9,  3.5,    599.0,4420.,280.3,  7,  3.6,    595.0,4486.,279.6,  5,  3.6,    589.0,4566.,278.8,  1,  3.6,
    582.0,4662.,277.8,355,  3.5,    574.0,4777.,276.7,345,  3.6,    565.0,4910.,275.4,325,  4.2,    554.0,5061.,274.0,307,  5.5,
    543.0,5227.,272.5,293,  7.1,    531.0,5407.,271.0,282,  8.9,    518.0,5596.,269.7,277, 10.6,    505.0,5793.,268.5,282, 10.5,
    492.0,5998.,267.5,299,  7.8,    479.0,6214.,265.6,326,  5.4,    465.0,6447.,264.2,  2,  3.9,    449.0,6710.,262.8, 27,  3.5,
    432.0,7015.,260.6,  6,  4.7,    412.0,7378.,258.3,  7,  3.9,    388.0,7815.,255.3,342,  2.8,    362.0,8343.,250.6,306,  5.3,
    332.0,8980.,245.7,283,  8.8,    298.0,9748.,240.2,273, 12.7                                                                 
   9999  12345       2016   1  1 16    0    2016   1  1 16    0   34      22                                                    
    603.0,4368.,281.7,357,  6.2,    599.0,4421.,280.9,357,  6.6,    595.0,4486.,280.2,357,  6.7,    589.0,4566.,279.3,356,  6.7,
    582.0,4663.,278.3,355,  6.6,    574.0,4778.,277.2,353,  6.6,    564.0,4911.,276.0,340,  6.4,    554.0,5062.,274.7,322,  7.0,
    543.0,5229.,273.2,309,  7.8,    531.0,5409.,271.7,299,  7.9,    518.0,5599.,270.1,287,  7.3,    505.0,5796.,268.4,277,  8.0,
    492.0,6000.,267.0,279,  9.0,    479.0,6216.,265.8,290,  7.7,    465.0,6449.,264.1,313,  5.3,    449.0,6711.,262.2,352,  4.3,
    432.0,7015.,260.4,  7,  5.4,    412.0,7377.,258.3,356,  4.2,    389.0,7814.,255.2,308,  6.0,    362.0,8341.,251.0,283,  8.2,
    332.0,8980.,246.4,268,  7.8,    298.0,9750.,240.7,272, 12.3                                                                 
   9999  12345       2016   1  1 17    0    2016   1  1 17    0   34      22                                                    
    603.0,4368.,281.5,347,  6.8,    599.0,4421.,280.8,347,  7.3,    594.0,4486.,280.1,346,  7.4,    589.0,4566.,279.2,345,  7.5,
    582.0,4663.,278.3,343,  7.5,    574.0,4778.,277.1,341,  7.5,    564.0,4911.,275.9,335,  7.6,    554.0,5062.,274.5,323,  7.7,
    543.0,5229.,273.1,311,  8.3,    530.0,5408.,271.5,301,  9.2,    518.0,5597.,269.8,297,  9.7,    505.0,5794.,268.5,295,  9.5,
    492.0,5999.,267.2,290,  8.2,    479.0,6214.,265.9,289,  6.3,    465.0,6447.,264.7,327,  3.4,    449.0,6710.,262.8,360,  4.9,
